id;name;bi;image;num_prisioner;num_cell;data_nascimento;balance;working;profile_image;profile_image_content_type;nfc_code;codigo_cartao
1;Intelligent;57514;Overpass local;19580;39272;2020-03-20;14886;70042;../fake-data/blob/hipster.png;image/png;16;4
2;Buckinghamshire;3612;synthesize bluetooth;42927;35485;2020-03-20;20629;80419;../fake-data/blob/hipster.png;image/png;4;4
3;Iranian Rial cross-platform;66342;Future tangible Garden;55723;41429;2020-03-20;21980;27031;../fake-data/blob/hipster.png;image/png;22;4
4;deposit;99042;Virginia Chief Salad;70770;26005;2020-03-19;94972;73971;../fake-data/blob/hipster.png;image/png;18;4
5;Wooden;27841;Bacon Licensed Plastic Computer;46665;81320;2020-03-20;33006;30441;../fake-data/blob/hipster.png;image/png;7;4
6;Team-oriented 1080p Investment Account;77189;eyeballs Bridge;94191;2182;2020-03-20;28979;55111;../fake-data/blob/hipster.png;image/png;11;4
7;Investor Israel;98726;Investment Account;71332;21821;2020-03-19;51487;14000;../fake-data/blob/hipster.png;image/png;9;4
8;multi-byte salmon invoice;84930;hybrid;48267;51611;2020-03-20;18194;33423;../fake-data/blob/hipster.png;image/png;11;4
9;bypassing;73027;PCI azure Brunei Darussalam;1546;84313;2020-03-20;54689;63280;../fake-data/blob/hipster.png;image/png;8;4
10;secured line hacking benchmark;27261;didactic Books;96091;87917;2020-03-20;84322;29550;../fake-data/blob/hipster.png;image/png;19;4
