id;id_sys_admin;name_admin;jhi_password
1;6703;protocol Pike;zero tolerance white Florida
2;63398;Chicken;navigate ivory
3;18459;Gold Secured Jewelery;Handmade Plastic Table
4;94862;overriding;Handcrafted Frozen Hat
5;48666;Intelligent card;Specialist impactful Fish
6;33177;Rufiyaa Computer;Handcrafted Steel Fish payment Table
7;51835;Tanzania California Identity;models New York Parkway
8;19148;Michigan;Tasty
9;94547;Mandatory Internal bypass;European Monetary Unit (E.M.U.-6) Multi-channelled payment
10;22075;iterate;Jewelery
